Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,1,,,,1
2017,1,2,1050,1600,2938,2
2017,1,3,750,1500,2422,3
2017,1,4,750,1500,2310,4
2017,1,5,750,1500,2118,5
2017,1,6,750,1500,2506,6
2017,1,7,750,1500,3080,7
2017,1,8,,,,8
2017,1,9,850,1500,3863,9
2017,1,10,700,1500,2782,10
2017,1,11,700,1400,2912,11
2017,1,12,700,1400,2358,12
2017,1,13,800,1500,2550,13
2017,1,14,,,,14
2017,1,15,,,,15
2017,1,16,700,1300,1363,16
2017,1,17,700,1500,1063,17
2017,1,18,700,1400,1339,18
2017,1,19,750,1400,1310,19
2017,1,20,700,1400,2190,20
2017,1,21,700,1400,2100,21
2017,1,22,,,,22
2017,1,23,800,1500,3215,23
2017,1,24,650,1300,2667,24
2017,1,25,700,1300,2104,25
2017,1,26,,,,26
2017,1,27,700,1300,2781,27
2017,1,28,700,1300,2510,28
2017,1,29,,,,29
2017,1,30,700,1300,2685,30
2017,1,31,650,1300,2471,31
2017,2,1,700,1300,1893,32
2017,2,2,700,1300,2003,33
2017,2,3,775,1500,1850,34
2017,2,4,700,1300,2234,35
2017,2,5,,,,36
2017,2,6,750,1300,2418,37
2017,2,7,750,1300,2055,38
2017,2,8,750,1300,1753,39
2017,2,9,750,1300,1890,40
2017,2,10,750,1300,1776,41
2017,2,11,750,1300,1750,42
2017,2,12,,,,43
2017,2,13,800,1400,2900,44
2017,2,14,750,1300,1942,45
2017,2,15,750,1300,1925,46
2017,2,16,750,1300,1900,47
2017,2,17,750,1300,1408,48
2017,2,18,800,1400,1638,49
2017,2,19,,,,50
2017,2,20,800,1400,2341,51
2017,2,21,,,,52
2017,2,22,,,,53
2017,2,23,,,,54
2017,2,24,,,,55
2017,2,25,,,,56
2017,2,26,,,,57
2017,2,27,,,,58
2017,2,28,800,1400,1952,59
2017,3,1,800,1300,1944,60
2017,3,2,800,1300,1629,61
2017,3,3,800,1300,2057,62
2017,3,4,800,1300,2000,63
2017,3,5,,,,64
