Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,1,,,,1
2017,1,2,1000,2000,749,2
2017,1,3,1000,2000,891,3
2017,1,4,1000,2000,731,4
2017,1,5,800,2000,816,5
2017,1,6,800,2000,805,6
2017,1,7,800,2000,821,7
2017,1,8,,,,8
2017,1,9,800,2000,914,9
2017,1,10,800,2000,865,10
2017,1,11,800,2000,815,11
2017,1,12,800,2000,925,12
2017,1,13,800,2000,925,13
2017,1,14,850,2000,260,14
2017,1,15,,,,15
2017,1,16,900,2000,815,16
2017,1,17,900,2000,815,17
2017,1,18,800,2000,415,18
2017,1,19,800,2000,445,19
2017,1,20,800,2000,445,20
2017,1,21,800,2000,421,21
2017,1,22,,,,22
2017,1,23,800,2000,716,23
2017,1,24,800,2000,883,24
2017,1,25,800,2000,816,25
2017,1,26,,,,26
2017,1,27,900,2000,1119,27
2017,1,28,900,2000,1250,28
2017,1,29,,,,29
2017,1,30,1000,2000,1400,30
2017,1,31,1000,2000,1130,31
2017,2,1,800,2000,921,32
2017,2,2,800,2000,861,33
2017,2,3,900,2000,751,34
2017,2,4,800,2000,720,35
2017,2,5,,,,36
2017,2,6,800,2000,853,37
2017,2,7,800,2000,836,38
2017,2,8,800,2000,713,39
2017,2,9,800,2000,703,40
2017,2,10,800,2000,593,41
2017,2,11,750,2000,510,42
2017,2,12,,,,43
2017,2,13,800,2000,851,44
2017,2,14,800,2000,869,45
2017,2,15,800,2000,636,46
2017,2,16,850,2000,767,47
2017,2,17,,,,48
2017,2,18,900,2000,653,49
2017,2,19,,,,50
2017,2,20,900,2000,885,51
2017,2,21,900,2000,731,52
2017,2,22,800,2000,818,53
2017,2,23,900,2000,773,54
2017,2,24,,,,55
2017,2,25,900,2000,654,56
2017,2,26,,,,57
2017,2,27,900,2000,716,58
2017,2,28,900,2000,810,59
2017,3,1,900,2000,858,60
2017,3,2,900,2000,850,61
2017,3,3,900,2000,761,62
2017,3,4,900,2000,761,63
2017,3,5,,,,64
2017,3,6,800,2000,1015,65
2017,3,7,800,2000,1015,66
2017,3,8,800,2000,746,67
2017,3,9,800,2000,815,68
2017,3,10,800,2000,810,69
2017,3,11,850,2000,682,70
2017,3,12,,,,71
2017,3,13,,,,72
2017,3,14,900,2000,815,73
2017,3,15,800,2000,856,74
2017,3,16,800,2000,615,75
2017,3,17,800,2000,723,76
2017,3,18,800,2000,710,77
2017,3,19,,,,78
2017,3,20,700,2000,1173,79
2017,3,21,750,1600,327,80
2017,3,22,700,2000,859,81
2017,3,23,800,2000,815,82
2017,3,24,800,2000,981,83
2017,3,25,700,2000,556,84
2017,3,26,,,,85
2017,3,27,700,2000,695,86
2017,3,28,700,2000,695,87
2017,3,29,800,2000,856,88
2017,3,30,800,2000,759,89
2017,3,31,700,2000,886,90
2017,4,1,700,2000,916,91
2017,4,2,,,,92
2017,4,3,800,2000,810,93
2017,4,4,,,,94
2017,4,5,750,1800,667,95
2017,4,6,800,1800,600,96
2017,4,7,700,1800,1123,97
2017,4,8,700,1800,423,98
2017,4,9,,,,99
2017,4,10,,,,100
2017,4,11,700,2000,1125,101
2017,4,12,700,2000,1036,102
2017,4,13,700,2000,1151,103
2017,4,14,,,,104
2017,4,15,750,2000,815,105
2017,4,16,,,,106
2017,4,17,800,2000,918,107
2017,4,18,800,2000,865,108
2017,4,19,800,2000,891,109
2017,4,20,800,2000,891,110
2017,4,21,800,2000,861,111
2017,4,22,700,2000,621,112
2017,4,23,,,,113
2017,4,24,700,2000,630,114
2017,4,25,900,2000,723,115
2017,4,26,800,2000,869,116
2017,4,27,900,2000,729,117
2017,4,28,600,2000,1025,118
2017,4,29,700,2000,961,119
2017,4,30,,,,120
2017,5,1,600,2000,1256,121
2017,5,2,600,2000,1182,122
2017,5,3,600,2000,965,123
2017,5,4,700,2000,1190,124
2017,5,5,550,2000,782,125
2017,5,6,580,1600,870,126
2017,5,7,,,,127
2017,5,8,600,1500,869,128
2017,5,9,700,1500,916,129
2017,5,10,,,,130
2017,5,11,600,1500,300,131
2017,5,12,600,1600,315,132
2017,5,13,600,1600,310,133
2017,5,14,,,,134
2017,5,15,600,1600,310,135
2017,5,16,800,1500,531,136
2017,5,17,800,1600,535,137
2017,5,18,650,1500,810,138
2017,5,19,600,1500,1219,139
2017,5,20,600,1500,1360,140
2017,5,21,,,,141
2017,5,22,600,1600,1400,142
2017,5,23,700,1600,769,143
2017,5,24,800,1500,819,144
2017,5,25,,,,145
2017,5,26,800,1500,80,146
2017,5,27,,,,147
2017,5,28,,,,148
2017,5,29,800,1500,1026,149
2017,5,30,800,1500,929,150
2017,5,31,750,1500,623,151
2017,6,1,700,1500,825,152
2017,6,2,800,1500,795,153
2017,6,3,700,1600,946,154
2017,6,4,,,,155
2017,6,5,800,1600,970,156
2017,6,6,800,1600,961,157
2017,6,7,800,1600,961,158
2017,6,8,800,1600,835,159
2017,6,9,800,1600,819,160
2017,6,10,780,1600,782,161
2017,6,11,,,,162
2017,6,12,700,1600,791,163
2017,6,13,600,1500,880,164
2017,6,14,800,1500,729,165
2017,6,15,800,1500,610,166
2017,6,16,900,1600,767,167
2017,6,17,950,1600,783,168
2017,6,18,,,,169
2017,6,19,,,,170
2017,6,20,900,1800,1723,171
2017,6,21,900,1800,1325,172
2017,6,22,1000,1800,1125,173
2017,6,23,1000,1800,1251,174
2017,6,24,900,1800,1053,175
2017,6,25,,,,176
2017,6,26,,,,177
2017,6,27,900,1800,1123,178
2017,6,28,800,1800,1011,179
2017,6,29,800,1800,1075,180
2017,6,30,900,1800,816,181
2017,7,1,850,1500,893,182
2017,7,2,,,,183
2017,7,3,800,1500,815,184
2017,7,4,900,1500,791,185
2017,7,5,900,1500,761,186
2017,7,6,800,1500,625,187
2017,7,7,800,1500,631,188
2017,7,8,800,1500,641,189
2017,7,9,,,,190
2017,7,10,800,1500,815,191
2017,7,11,1000,1500,826,192
2017,7,12,1100,1500,855,193
2017,7,13,800,1500,681,194
2017,7,14,800,1500,608,195
2017,7,15,700,1500,516,196
2017,7,16,,,,197
2017,7,17,800,1500,551,198
2017,7,18,800,1500,573,199
2017,7,19,800,1500,573,200
2017,7,20,800,1500,72,201
2017,7,21,800,1500,695,202
2017,7,22,800,1500,715,203
2017,7,23,,,,204
2017,7,24,850,1600,517,205
2017,7,25,800,1600,610,206
2017,7,26,800,1600,795,207
2017,7,27,900,1600,625,208
2017,7,28,900,1600,625,209
2017,7,29,1200,2200,493,210
2017,7,30,,,,211
2017,7,31,1200,2000,516,212
2017,8,1,1400,2500,565,213
2017,8,2,1500,2500,346,214
2017,8,3,1500,2500,361,215
2017,8,4,1500,2500,301,216
2017,8,5,1300,2200,258,217
2017,8,6,,,,218
2017,8,7,1300,2500,291,219
2017,8,8,1400,2500,306,220
2017,8,9,1400,2600,631,221
2017,8,10,1300,2500,571,222
2017,8,11,1800,3000,660,223
2017,8,12,1600,3000,615,224
2017,8,13,,,,225
2017,8,14,2300,3500,1075,226
2017,8,15,,,,227
2017,8,16,2300,3500,916,228
2017,8,17,2200,3500,1248,229
2017,8,18,2400,3500,958,230
2017,8,19,2300,3500,916,231
2017,8,20,,,,232
2017,8,21,2100,3500,1025,233
2017,8,22,2000,3600,900,234
2017,8,23,1400,3200,1201,235
2017,8,24,2000,3500,960,236
2017,8,25,2000,3500,398,237
2017,8,26,1900,3500,850,238
2017,8,27,,,,239
2017,8,28,1750,3400,1849,240
2017,8,29,1800,3400,1117,241
2017,8,30,2000,3500,813,242
2017,8,31,2000,3500,663,243
2017,9,1,2400,3500,1551,244
2017,9,2,,,,245
2017,9,3,,,,246
2017,9,4,2300,3500,1451,247
2017,9,5,2300,3500,1451,248
2017,9,6,2300,3500,1175,249
