Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days,,,,,,,,,,,,,,,,,,,,,
2017,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,
2017,1,2,1150,2500,1022,2,,,,,,,,,,,,,,,,,,,,,
2017,1,3,1100,2500,730,3,,,,,,,,,,,,,,,,,,,,,
2017,1,4,1100,2500,1094,4,,,,,,,,,,,,,,,,,,,,,
2017,1,5,1100,2500,1348,5,,,,,,,,,,,,,,,,,,,,,
2017,1,6,1100,2500,1160,6,,,,,,,,,,,,,,,,,,,,,
2017,1,7,1100,2500,1225,7,,,,,,,,,,,,,,,,,,,,,
2017,1,8,,,,8,,,,,,,,,,,,,,,,,,,,,
2017,1,9,1100,2500,1543,9,,,,,,,,,,,,,,,,,,,,,
2017,1,10,1100,2500,959,10,,,,,,,,,,,,,,,,,,,,,
2017,1,11,1050,2400,1007,11,,,,,,,,,,,,,,,,,,,,,
2017,1,12,1050,2500,1155,12,,,,,,,,,,,,,,,,,,,,,
2017,1,13,1000,2200,1210,13,,,,,,,,,,,,,,,,,,,,,
2017,1,14,,,,14,,,,,,,,,,,,,,,,,,,,,
2017,1,15,,,,15,,,,,,,,,,,,,,,,,,,,,
2017,1,16,850,2400,910,16,,,,,,,,,,,,,,,,,,,,,
2017,1,17,900,2200,651,17,,,,,,,,,,,,,,,,,,,,,
2017,1,18,1100,2300,874,18,,,,,,,,,,,,,,,,,,,,,
2017,1,19,1100,2200,850,19,,,,,,,,,,,,,,,,,,,,,
2017,1,20,950,2300,1133,20,,,,,,,,,,,,,,,,,,,,,
2017,1,21,1000,2400,1100,21,,,,,,,,,,,,,,,,,,,,,
2017,1,22,,,,22,,,,,,,,,,,,,,,,,,,,,
2017,1,23,1100,2400,1540,23,,,,,,,,,,,,,,,,,,,,,
2017,1,24,1000,2400,781,24,,,,,,,,,,,,,,,,,,,,,
2017,1,25,1050,2400,774,25,,,,,,,,,,,,,,,,,,,,,
2017,1,26,,,,26,,,,,,,,,,,,,,,,,,,,,
2017,1,27,1000,2400,1276,27,,,,,,,,,,,,,,,,,,,,,
2017,1,28,1200,2400,1220,28,,,,,,,,,,,,,,,,,,,,,
2017,1,29,,,,29,,,,,,,,,,,,,,,,,,,,,
2017,1,30,1050,2300,1220,30,,,,,,,,,,,,,,,,,,,,,
2017,1,31,950,2300,968,31,,,,,,,,,,,,,,,,,,,,,
2017,2,1,1000,2300,1359,32,,,,,,,,,,,,,,,,,,,,,
2017,2,2,1000,2200,984,33,,,,,,,,,,,,,,,,,,,,,
2017,2,3,1000,2200,900,34,,,,,,,,,,,,,,,,,,,,,
2017,2,4,950,2200,1052,35,,,,,,,,,,,,,,,,,,,,,
2017,2,5,,,,36,,,,,,,,,,,,,,,,,,,,,
2017,2,6,800,2000,1165,37,,,,,,,,,,,,,,,,,,,,,
2017,2,7,1000,2200,918,38,,,,,,,,,,,,,,,,,,,,,
2017,2,8,1000,2200,915,39,,,,,,,,,,,,,,,,,,,,,
2017,2,9,1100,2200,897,40,,,,,,,,,,,,,,,,,,,,,
2017,2,10,1200,2300,937,41,,,,,,,,,,,,,,,,,,,,,
2017,2,11,1100,2200,910,42,,,,,,,,,,,,,,,,,,,,,
2017,2,12,,,,43,,,,,,,,,,,,,,,,,,,,,
2017,2,13,1000,2200,1100,44,,,,,,,,,,,,,,,,,,,,,
2017,2,14,950,2200,935,45,,,,,,,,,,,,,,,,,,,,,
2017,2,15,1000,2200,850,46,,,,,,,,,,,,,,,,,,,,,
2017,2,16,1000,2500,785,47,,,,,,,,,,,,,,,,,,,,,
2017,2,17,950,2200,1047,48,,,,,,,,,,,,,,,,,,,,,
2017,2,18,950,2200,996,49,,,,,,,,,,,,,,,,,,,,,
2017,2,19,,,,50,,,,,,,,,,,,,,,,,,,,,
2017,2,20,950,2200,1115,51,,,,,,,,,,,,,,,,,,,,,
2017,2,21,,,,52,,,,,,,,,,,,,,,,,,,,,
2017,2,22,,,,53,,,,,,,,,,,,,,,,,,,,,
2017,2,23,,,,54,,,,,,,,,,,,,,,,,,,,,
2017,2,24,,,,55,,,,,,,,,,,,,,,,,,,,,
