Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days,,
2017,1,1,,,,1,,
2017,1,2,450,1000,414,2,,
2017,1,3,450,1000,1382,3,,
2017,1,4,450,1000,1097,4,,
2017,1,5,420,1000,1625,5,,
2017,1,6,430,900,1575,6,,
2017,1,7,430,900,1582,7,,
2017,1,8,,,,8,,
2017,1,9,430,900,535,9,,
2017,1,10,430,900,535,10,,
2017,1,11,430,900,1328,11,,
2017,1,12,480,900,1249,12,,
2017,1,13,470,800,1403,13,,
2017,1,14,470,800,1449,14,,
2017,1,15,,,,15,,
2017,1,16,440,800,734,16,,
2017,1,17,440,800,1724,17,,
2017,1,18,480,900,1141,18,,
2017,1,19,460,900,1212,19,,
2017,1,20,460,900,1649,20,,
2017,1,21,460,900,2245,21,,
2017,1,22,,,,22,,
2017,1,23,460,900,680,23,,
2017,1,24,460,900,1630,24,,
2017,1,25,440,900,2715,25,,
2017,1,26,,,,26,,
2017,1,27,460,9000,442,27,,
2017,1,28,440,900,1543,28,,
2017,1,29,,,,29,,
2017,1,30,440,900,180,30,,
2017,1,31,440,900,1636,31,,
2017,2,1,440,900,1839,32,,
2017,2,2,420,800,2140,33,,
2017,2,3,420,800,1511,34,,
2017,2,4,420,800,1300,35,,
2017,2,5,,,,36,,
2017,2,6,420,800,409,37,,
2017,2,7,390,800,1530,38,,
2017,2,8,360,800,1662,39,,
2017,2,9,360,800,1685,40,,
2017,2,10,360,800,1765,41,,
2017,2,11,360,800,1728,42,,
2017,2,12,,,,43,,
2017,2,13,360,800,225,44,,
2017,2,14,360,800,1643,45,,
2017,2,15,340,800,1321,46,,
2017,2,16,350,800,1410,47,,
2017,2,17,310,700,1439,48,,
2017,2,18,310,700,1320,49,,
2017,2,19,,,,50,,
2017,2,20,310,700,251,51,,
2017,2,21,330,700,2052,52,,
2017,2,22,350,800,1784,53,,
2017,2,23,340,800,1439,54,,
2017,2,24,,,,55,,
2017,2,25,350,800,846,56,,
2017,2,26,,,,57,,
2017,2,27,370,800,375,58,,
2017,2,28,330,800,2293,59,,
2017,3,1,330,800,1544,60,,
2017,3,2,310,800,1438,61,,
2017,3,3,310,800,1372,62,,
2017,3,4,330,800,1869,63,,
2017,3,5,,,,64,,
2017,3,6,320,800,366,65,,
2017,3,7,320,800,1676,66,,
2017,3,8,360,800,1317,67,,
2017,3,9,420,900,1663,68,,
2017,3,10,450,1000,1750,69,,
2017,3,11,470,1000,1599,70,,
2017,3,12,,,,71,,
2017,3,13,,,,72,,
2017,3,14,470,1000,297,73,,
2017,3,15,495,1000,1026,74,,
2017,3,16,495,1000,1380,75,,
2017,3,17,470,1000,1565,76,,
2017,3,18,470,1000,1872,77,,
2017,3,19,,,,78,,
2017,3,20,500,1100,331,79,,
2017,3,21,500,1100,2122,80,,
2017,3,22,400,900,1651,81,,
2017,3,23,450,1000,1284,82,,
2017,3,24,450,1000,1365,83,,
2017,3,25,450,1000,1622,84,,
2017,3,26,,,,85,,
2017,3,27,450,1000,281,86,,
2017,3,28,450,1000,2246,87,,
2017,3,29,575,1100,1588,88,,
2017,3,30,550,1100,1738,89,,
2017,3,31,475,1000,1945,90,,
2017,4,1,475,1000,1821,91,,
2017,4,2,,,,92,,
2017,4,3,450,1000,263,93,,
2017,4,4,,,,94,,
2017,4,5,450,1000,1436,95,,
2017,4,6,450,1000,1347,96,,
2017,4,7,450,1000,1337,97,,
2017,4,8,450,1000,1180,98,,
2017,4,9,,,,99,,
2017,4,10,500,1000,230,100,,
2017,4,11,500,1000,1555,101,,
2017,4,12,500,1000,1408,102,,
2017,4,13,475,900,1871,103,,
2017,4,14,,,,104,,
2017,4,15,475,900,1894,105,,
2017,4,16,,,,106,,
2017,4,17,500,1000,304,107,,
2017,4,18,500,1000,1421,108,,
2017,4,19,500,1000,1154,109,,
2017,4,20,500,1000,1394,110,,
2017,4,21,500,1000,1262,111,,
2017,4,22,500,1000,1135,112,,
2017,4,23,,,,113,,
2017,4,24,500,1000,118,114,,
2017,4,25,500,1000,1627,115,,
2017,4,26,500,1000,1123,116,,
2017,4,27,500,1000,1157,117,,
2017,4,28,500,1000,1130,118,,
2017,4,29,500,1000,1458,119,,
2017,4,30,,,,120,,
2017,5,1,500,1000,239,121,,
2017,5,2,500,1200,1311,122,,
2017,5,3,500,1200,1263,123,,
2017,5,4,500,1200,1462,124,,
2017,5,5,500,1200,1450,125,,
2017,5,6,500,1200,1249,126,,
2017,5,7,,,,127,,
2017,5,8,450,1200,128,128,,
2017,5,9,450,1200,1366,129,,
2017,5,10,,,,130,,
2017,5,11,450,1200,1228,131,,
2017,5,12,450,1200,1126,132,,
2017,5,13,450,1200,1316,133,,
2017,5,14,,,,134,,
2017,5,15,450,1200,146,135,,
2017,5,16,450,1200,1315,136,,
2017,5,17,450,1200,892,137,,
2017,5,18,450,1200,1142,138,,
2017,5,19,450,1200,1165,139,,
2017,5,20,450,1200,1263,140,,
2017,5,21,,,,141,,
2017,5,22,450,1200,113,142,,
2017,5,23,450,1200,1282,143,,
2017,5,24,400,1200,933,144,,
2017,5,25,375,1200,1032,145,,
2017,5,26,400,1400,1149,146,,
2017,5,27,400,1400,1212,147,,
2017,5,28,,,,148,,
2017,5,29,400,1400,170,149,,
2017,5,30,425,1400,1373,150,,
2017,5,31,425,1400,1003,151,,
2017,6,1,425,1400,939,152,,
2017,6,2,425,1400,1024,153,,
2017,6,3,425,1400,1029,154,,
2017,6,4,,,,155,,
2017,6,5,425,1400,38,156,,
2017,6,6,425,1200,1388,157,,
2017,6,7,425,1200,996,158,,
2017,6,8,425,1200,1232,159,,
2017,6,9,475,1200,874,160,,
2017,6,10,475,1200,1118,161,,
2017,6,11,,,,162,,
2017,6,12,525,1400,91,163,,
2017,6,13,525,1400,1350,164,,
2017,6,14,500,1400,881,165,,
2017,6,15,500,1400,1050,166,,
2017,6,16,475,1300,1258,167,,
2017,6,17,475,1300,1048,168,,
2017,6,18,,,,169,,
2017,6,19,475,1300,140,170,,
2017,6,20,475,1300,1386,171,,
2017,6,21,475,1400,1027,172,,
2017,6,22,950,1800,1132,173,,
2017,6,23,950,1800,1040,174,,
2017,6,24,950,1800,1099,175,,
2017,6,25,,,,176,,
2017,6,26,,,,177,,
2017,6,27,950,1800,1183,178,,
2017,6,28,1025,2000,948,179,,
2017,6,29,1000,2000,856,180,,
2017,6,30,975,2000,1326,181,,
2017,7,1,875,2000,1126,182,,
2017,7,2,,,,183,,
2017,7,3,925,2000,126,184,,
2017,7,4,925,2000,1562,185,,
2017,7,5,1025,2000,1363,186,,
2017,7,6,1000,2000,1315,187,,
2017,7,7,950,1800,1304,188,,
2017,7,8,900,1800,1406,189,,
2017,7,9,,,,190,,
2017,7,10,925,1800,205,191,,
2017,7,11,975,1800,1906,192,,
2017,7,12,925,1800,1280,193,,
2017,7,13,900,1800,1037,194,,
2017,7,14,900,1800,1372,195,,
2017,7,15,900,1800,1567,196,,
2017,7,16,,,,197,,
2017,7,17,900,1800,247,198,,
2017,7,18,875,1800,1878,199,,
2017,7,19,925,2000,978,200,,
2017,7,20,675,1800,1245,201,,
2017,7,21,775,2000,1205,202,,
2017,7,22,775,2000,1233,203,,
2017,7,23,,,,204,,
2017,7,24,775,2000,202,205,,
2017,7,25,775,2000,1762,206,,
2017,7,26,775,2000,1040,207,,
2017,7,27,750,2000,1387,208,,
2017,7,28,775,2000,1325,209,,
2017,7,29,775,2000,1588,210,,
2017,7,30,,,,211,,
2017,7,31,750,2000,158,212,,
2017,8,1,725,2000,1350,213,,
2017,8,2,725,1800,1563,214,,
2017,8,3,725,1800,1288,215,,
2017,8,4,775,1800,1242,216,,
2017,8,5,750,1800,1367,217,,
2017,8,6,,,,218,,
2017,8,7,750,1800,100,219,,
2017,8,8,750,1800,929,220,,
2017,8,9,750,1800,781,221,,
2017,8,10,750,1800,1145,222,,
2017,8,11,750,1800,1448,223,,
2017,8,12,750,1800,1260,224,,
2017,8,13,,,,225,,
2017,8,14,775,2000,414,226,,
2017,8,15,,,,227,,
2017,8,16,775,2000,83,228,,
2017,8,17,775,2000,1836,229,,
2017,8,18,725,2000,1211,230,,
2017,8,19,725,2000,1156,231,,
2017,8,20,,,,232,,
2017,8,21,725,2000,307,233,,
2017,8,22,725,2000,1742,234,,
2017,8,23,750,2000,1186,235,,
2017,8,24,775,2100,1353,236,,
2017,8,25,775,2100,1066,237,,
2017,8,26,750,2000,1110,238,,
2017,8,27,,,,239,,
2017,8,28,750,2000,297,240,,
2017,8,29,775,2000,1624,241,,
2017,8,30,775,2000,1137,242,,
2017,8,31,775,2000,1566,243,,
2017,9,1,775,2000,1585,244,,
2017,9,2,,,,245,,
2017,9,3,,,,246,,
2017,9,4,775,2000,224,247,,
2017,9,5,775,2000,1419,248,,
2017,9,6,775,2000,1213,249,,
2017,9,7,775,2000,1415,250,,
2017,9,8,825,2100,1603,251,,
2017,9,9,875,2200,1594,252,,
2017,9,10,,,,253,,
2017,9,11,875,2200,379,254,,
2017,9,12,850,2100,2040,255,,
2017,9,13,850,2000,1324,256,,
2017,9,14,850,2000,1279,257,,
2017,9,15,825,1800,1339,258,,
2017,9,16,875,1800,1464,259,,
2017,9,17,,,,260,,
2017,9,18,875,1800,413,261,,
2017,9,19,875,1800,1887,262,,
2017,9,20,875,1800,1362,263,,
2017,9,21,900,2000,1827,264,,
2017,9,22,850,1800,2013,265,,
2017,9,23,850,1800,1771,266,,
2017,9,24,,,,267,,
2017,9,25,850,1800,343,268,,
2017,9,26,875,2000,1880,269,,
2017,9,27,975,2200,1629,270,,
2017,9,28,925,2100,1608,271,,
2017,9,29,925,2100,1763,272,,
2017,9,30,,,,273,,
2017,10,1,,,,274,,
2017,10,2,,,,275,,
2017,10,3,975,2200,386,276,,
2017,10,4,975,2200,2478,277,,
2017,10,5,975,2200,1586,278,,
2017,10,6,925,2100,1207,279,,
2017,10,7,925,2000,1324,280,,
2017,10,8,,,,281,,
2017,10,9,925,2000,325,282,,
2017,10,10,925,1900,1603,283,,
2017,10,11,875,1800,1277,284,,
2017,10,12,925,1900,1346,285,,
2017,10,13,900,1800,1264,286,,
2017,10,14,900,1800,1268,287,,
2017,10,15,,,,288,,
2017,10,16,925,1800,215,289,,
2017,10,17,925,1800,1937,290,,
2017,10,18,925,1800,1183,291,,
2017,10,19,,,,292,,
2017,10,20,,,,293,,
2017,10,21,975,1900,307,294,,
2017,10,22,,,,295,,
2017,10,23,975,1900,317,296,,
2017,10,24,975,1900,1532,297,,
2017,10,25,975,1900,1480,298,,
2017,10,26,975,2000,1846,299,,
2017,10,27,975,2000,1270,300,,
2017,10,28,975,2000,1276,301,,
2017,10,29,,,,302,,
2017,10,30,975,2000,320,303,,
2017,10,31,1025,2000,1584,304,,
2017,11,1,1025,2000,1292,305,,
2017,11,2,1025,2000,1933,306,,
2017,11,3,1025,2000,1659,307,,
2017,11,4,,,,308,,
2017,11,5,,,,309,,
2017,11,6,875,1800,315,310,,
2017,11,7,925,1800,2695,311,,
2017,11,8,925,1900,1502,312,,
2017,11,9,925,1900,1753,313,,
2017,11,10,950,2000,1780,314,,
2017,11,11,925,1900,2139,315,,
2017,11,12,,,,316,,
2017,11,13,925,1900,387,317,,
2017,11,14,925,1900,2518,318,,
2017,11,15,875,1800,1874,319,,
2017,11,16,875,1800,1827,320,,
2017,11,17,875,1800,1638,321,,
2017,11,18,850,1800,1493,322,,
2017,11,19,,,,323,,
2017,11,20,850,1800,416,324,,
2017,11,21,825,1800,2002,325,,
2017,11,22,825,1800,1842,326,,
2017,11,23,825,1800,1705,327,,
2017,11,24,800,1800,1479,328,,
2017,11,25,800,1800,2070,329,,
2017,11,26,,,,330,,
2017,11,27,800,1800,606,331,,
2017,11,28,800,1800,1852,332,,
2017,11,29,800,1900,1808,333,,
2017,11,30,800,1900,1785,334,,
