Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days,,,,,,,,,,,,,,,,,,,,,
2017,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,
2017,1,2,1000,2000,233,2,,,,,,,,,,,,,,,,,,,,,
2017,1,3,1000,2000,216,3,,,,,,,,,,,,,,,,,,,,,
2017,1,4,1000,2000,308,4,,,,,,,,,,,,,,,,,,,,,
2017,1,5,1000,2000,380,5,,,,,,,,,,,,,,,,,,,,,
2017,1,6,900,2000,339,6,,,,,,,,,,,,,,,,,,,,,
2017,1,7,800,2000,269,7,,,,,,,,,,,,,,,,,,,,,
2017,1,8,,,,8,,,,,,,,,,,,,,,,,,,,,
2017,1,9,1100,2000,407,9,,,,,,,,,,,,,,,,,,,,,
2017,1,10,800,2000,247,10,,,,,,,,,,,,,,,,,,,,,
2017,1,11,800,2000,247,11,,,,,,,,,,,,,,,,,,,,,
2017,1,12,1100,2000,172,12,,,,,,,,,,,,,,,,,,,,,
2017,1,13,1100,2000,177,13,,,,,,,,,,,,,,,,,,,,,
2017,1,14,900,2000,127,14,,,,,,,,,,,,,,,,,,,,,
2017,1,15,,,,15,,,,,,,,,,,,,,,,,,,,,
2017,1,16,1100,2000,188,16,,,,,,,,,,,,,,,,,,,,,
2017,1,17,800,2000,189,17,,,,,,,,,,,,,,,,,,,,,
2017,1,18,800,2000,197,18,,,,,,,,,,,,,,,,,,,,,
2017,1,19,800,2000,209,19,,,,,,,,,,,,,,,,,,,,,
2017,1,20,800,2000,286,20,,,,,,,,,,,,,,,,,,,,,
2017,1,21,800,2000,320,21,,,,,,,,,,,,,,,,,,,,,
2017,1,22,,,,22,,,,,,,,,,,,,,,,,,,,,
2017,1,23,700,2000,351,23,,,,,,,,,,,,,,,,,,,,,
2017,1,24,700,2000,270,24,,,,,,,,,,,,,,,,,,,,,
2017,1,25,700,2000,183,25,,,,,,,,,,,,,,,,,,,,,
2017,1,26,,,,26,,,,,,,,,,,,,,,,,,,,,
2017,1,27,800,2000,292,27,,,,,,,,,,,,,,,,,,,,,
2017,1,28,800,2000,316,28,,,,,,,,,,,,,,,,,,,,,
2017,1,29,,,,29,,,,,,,,,,,,,,,,,,,,,
2017,1,30,1000,2000,225,30,,,,,,,,,,,,,,,,,,,,,
2017,1,31,600,2000,320,31,,,,,,,,,,,,,,,,,,,,,
2017,2,1,800,2000,336,32,,,,,,,,,,,,,,,,,,,,,
2017,2,2,600,2000,196,33,,,,,,,,,,,,,,,,,,,,,
2017,2,3,900,2000,185,34,,,,,,,,,,,,,,,,,,,,,
2017,2,4,750,1800,274,35,,,,,,,,,,,,,,,,,,,,,
2017,2,5,,,,36,,,,,,,,,,,,,,,,,,,,,
2017,2,6,700,2000,236,37,,,,,,,,,,,,,,,,,,,,,
2017,2,7,700,2000,341,38,,,,,,,,,,,,,,,,,,,,,
2017,2,8,500,2000,261,39,,,,,,,,,,,,,,,,,,,,,
2017,2,9,800,2000,271,40,,,,,,,,,,,,,,,,,,,,,
2017,2,10,700,2000,243,41,,,,,,,,,,,,,,,,,,,,,
2017,2,11,700,2000,210,42,,,,,,,,,,,,,,,,,,,,,
2017,2,12,,,,43,,,,,,,,,,,,,,,,,,,,,
2017,2,13,600,2000,232,44,,,,,,,,,,,,,,,,,,,,,
2017,2,14,900,2000,276,45,,,,,,,,,,,,,,,,,,,,,
2017,2,15,700,2000,220,46,,,,,,,,,,,,,,,,,,,,,
2017,2,16,600,1800,215,47,,,,,,,,,,,,,,,,,,,,,
2017,2,17,,,,48,,,,,,,,,,,,,,,,,,,,,
2017,2,18,700,1800,199,49,,,,,,,,,,,,,,,,,,,,,
2017,2,19,,,,50,,,,,,,,,,,,,,,,,,,,,
2017,2,20,500,2000,200,51,,,,,,,,,,,,,,,,,,,,,
2017,2,21,600,2000,296,52,,,,,,,,,,,,,,,,,,,,,
2017,2,22,600,2000,285,53,,,,,,,,,,,,,,,,,,,,,
2017,2,23,700,2000,199,54,,,,,,,,,,,,,,,,,,,,,
2017,2,24,,,,55,,,,,,,,,,,,,,,,,,,,,
2017,2,25,900,2000,166,56,,,,,,,,,,,,,,,,,,,,,
2017,2,26,,,,57,,,,,,,,,,,,,,,,,,,,,
2017,2,27,900,2000,169,58,,,,,,,,,,,,,,,,,,,,,
2017,2,28,800,2000,263,59,,,,,,,,,,,,,,,,,,,,,
2017,3,1,800,2000,348,60,,,,,,,,,,,,,,,,,,,,,
2017,3,2,,,,61,,,,,,,,,,,,,,,,,,,,,
2017,3,3,800,2000,336,62,,,,,,,,,,,,,,,,,,,,,
2017,3,4,800,2000,317,63,,,,,,,,,,,,,,,,,,,,,
2017,3,5,,,,64,,,,,,,,,,,,,,,,,,,,,
2017,3,6,800,2000,214,65,,,,,,,,,,,,,,,,,,,,,
2017,3,7,700,2000,190,66,,,,,,,,,,,,,,,,,,,,,
2017,3,8,800,2000,358,67,,,,,,,,,,,,,,,,,,,,,
2017,3,9,700,2000,178,68,,,,,,,,,,,,,,,,,,,,,
2017,3,10,800,2000,288,69,,,,,,,,,,,,,,,,,,,,,
2017,3,11,700,1800,299,70,,,,,,,,,,,,,,,,,,,,,
2017,3,12,,,,71,,,,,,,,,,,,,,,,,,,,,
2017,3,13,,,,72,,,,,,,,,,,,,,,,,,,,,
2017,3,14,900,1800,123,73,,,,,,,,,,,,,,,,,,,,,
2017,3,15,900,1800,137,74,,,,,,,,,,,,,,,,,,,,,
2017,3,16,1200,1800,110,75,,,,,,,,,,,,,,,,,,,,,
2017,3,17,1000,1800,231,76,,,,,,,,,,,,,,,,,,,,,
2017,3,18,1000,18000,236,77,,,,,,,,,,,,,,,,,,,,,
2017,3,19,,,,78,,,,,,,,,,,,,,,,,,,,,
2017,3,20,950,1800,330,79,,,,,,,,,,,,,,,,,,,,,
2017,3,21,950,1800,383,80,,,,,,,,,,,,,,,,,,,,,
2017,3,22,800,1800,308,81,,,,,,,,,,,,,,,,,,,,,
