Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,1,,,,1
2017,1,2,700,1500,263,2
2017,1,3,700,1500,287,3
2017,1,4,600,1500,340,4
2017,1,5,650,1500,310,5
2017,1,6,800,1500,246,6
2017,1,7,600,1500,303,7
2017,1,8,,,,8
2017,1,9,600,1500,340,9
2017,1,10,700,1500,270,10
2017,1,11,700,1500,216,11
2017,1,12,700,1500,214,12
2017,1,13,650,1500,252,13
2017,1,14,700,1500,327,14
2017,1,15,,,,15
2017,1,16,700,1500,233,16
2017,1,17,700,1500,293,17
2017,1,18,600,1500,397,18
2017,1,19,600,1500,258,19
2017,1,20,600,1500,290,20
2017,1,21,500,1500,360,21
2017,1,22,,,,22
2017,1,23,600,1500,254,23
2017,1,24,600,1500,250,24
2017,1,25,700,1500,341,25
2017,1,26,,,,26
2017,1,27,700,1500,323,27
2017,1,28,600,1500,360,28
2017,1,29,,,,29
2017,1,30,700,1500,298,30
2017,1,31,600,1500,154,31
2017,2,1,,,,32
2017,2,2,700,1500,263,33
2017,2,3,700,1500,287,34
2017,2,4,600,1500,340,35
2017,2,5,650,1500,310,36
2017,2,6,800,1500,246,37
2017,2,7,600,1500,303,38
2017,2,8,,,,39
2017,2,9,600,1500,340,40
2017,2,10,700,1500,270,41
2017,2,11,700,1500,216,42
2017,2,12,700,1500,214,43
2017,2,13,650,1500,252,44
2017,2,14,700,1500,327,45
2017,2,15,,,,46
2017,2,16,700,1500,233,47
2017,2,17,700,1500,293,48
2017,2,18,600,1500,397,49
2017,2,19,600,1500,258,50
2017,2,20,600,1500,290,51
2017,2,21,500,1500,360,52
2017,2,22,,,,53
2017,2,23,600,1500,254,54
2017,2,24,600,1500,250,55
2017,2,25,700,1500,341,56
2017,2,26,,,,57
2017,2,27,700,1500,323,58
2017,2,28,600,1500,360,59
2017,3,1,,,,60
2017,3,2,700,1500,263,61
2017,3,3,700,1500,287,62
2017,3,4,600,1500,340,63
2017,3,5,650,1500,310,64
2017,3,6,800,1500,246,65
2017,3,7,600,1500,303,66
2017,3,8,,,,67
2017,3,9,600,1500,340,68
2017,3,10,700,1500,270,69
2017,3,11,700,1500,216,70
2017,3,12,700,1500,214,71
2017,3,13,650,1500,252,72
2017,3,14,700,1500,327,73
2017,3,15,,,,74
2017,3,16,700,1500,233,75
2017,3,17,700,1500,293,76
2017,3,18,600,1500,397,77
2017,3,19,600,1500,258,78
2017,3,20,600,1500,290,79
2017,3,21,500,1500,360,80
2017,3,22,,,,81
2017,3,23,600,1500,254,82
2017,3,24,600,1500,250,83
2017,3,25,700,1500,341,84
2017,3,26,,,,85
2017,3,27,700,1500,323,86
2017,3,28,600,1500,360,87
2017,3,29,,,,88
2017,3,30,700,1500,298,89
2017,3,31,600,1500,154,90
2017,4,1,,,,91
2017,4,2,700,1500,263,92
2017,4,3,700,1500,287,93
2017,4,4,600,1500,340,94
2017,4,5,650,1500,310,95
2017,4,6,800,1500,246,96
2017,4,7,600,1500,303,97
2017,4,8,,,,98
2017,4,9,600,1500,340,99
2017,4,10,700,1500,270,100
2017,4,11,700,1500,216,101
2017,4,12,700,1500,214,102
2017,4,13,650,1500,252,103
2017,4,14,700,1500,327,104
2017,4,15,,,,105
2017,4,16,700,1500,233,106
2017,4,17,700,1500,293,107
2017,4,18,600,1500,397,108
2017,4,19,600,1500,258,109
2017,4,20,600,1500,290,110
2017,4,21,500,1500,360,111
2017,4,22,,,,112
