Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,1,,,,1
2017,1,2,550,1000,430,2
2017,1,3,550,1000,450,3
2017,1,4,550,1000,470,4
2017,1,5,550,1000,460,5
2017,1,6,550,1000,450,6
2017,1,7,550,1000,440,7
2017,1,8,,,,8
2017,1,9,850,1400,400,9
2017,1,10,850,1400,420,10
2017,1,11,850,1400,400,11
2017,1,12,950,1600,420,12
2017,1,13,1150,1800,400,13
2017,1,14,1050,1600,380,14
2017,1,15,,,,15
2017,1,16,,,,16
2017,1,17,1400,2500,350,17
2017,1,18,1400,2500,360,18
2017,1,19,1400,2500,350,19
2017,1,20,,,,20
2017,1,21,750,1500,400,21
2017,1,22,,,,22
2017,1,23,2100,3200,350,23
2017,1,24,1500,2400,380,24
2017,1,25,1300,2000,380,25
2017,1,26,,,,26
2017,1,27,1100,2200,360,27
2017,1,28,1700,2800,380,28
2017,1,29,,,,29
2017,1,30,1100,2400,370,30
2017,1,31,1100,2400,390,31
2017,2,1,1900,2800,350,32
2017,2,2,1600,3000,360,33
2017,2,3,1600,3000,340,34
2017,2,4,1300,2600,380,35
2017,2,5,,,,36
2017,2,6,1600,3200,320,37
2017,2,7,1200,2400,3400,38
2017,2,8,1400,2800,320,39
2017,2,9,1050,2800,320,40
2017,2,10,1050,2800,340,41
2017,2,11,1050,2800,320,42
2017,2,12,,,,43
2017,2,13,1900,3200,340,44
2017,2,14,1700,3000,340,45
2017,2,15,1400,2800,350,46
2017,2,16,1700,3000,350,47
2017,2,17,1600,2800,360,48
2017,2,18,1600,2800,350,49
2017,2,19,,,,50
2017,2,20,1500,2400,360,51
2017,2,21,1500,2400,350,52
2017,2,22,1500,2400,360,53
2017,2,23,2500,4000,340,54
2017,2,24,,,,55
2017,2,25,2300,3600,330,56
2017,2,26,,,,57
2017,2,27,1900,3200,350,58
2017,2,28,1700,3000,350,59
2017,3,1,1400,2800,360,60
2017,3,2,1400,3000,350,61
2017,3,3,1700,3000,360,62
2017,3,4,1700,3000,350,63
2017,3,5,,,,64
2017,3,6,1900,3200,360,65
2017,3,7,1900,3200,350,66
2017,3,8,1700,3000,360,67
2017,3,9,2100,3600,350,68
2017,3,10,2100,3600,360,69
2017,3,11,1900,3200,360,70
2017,3,12,,,,71
2017,3,13,,,,72
2017,3,14,1500,2600,380,73
2017,3,15,1500,2600,360,74
2017,3,16,1500,2600,380,75
2017,3,17,1500,2600,360,76
2017,3,18,1300,2200,380,77
2017,3,19,,,,78
2017,3,20,1500,2400,360,79
2017,3,21,1500,2400,380,80
2017,3,22,1300,2000,400,81
2017,3,23,,,,82
2017,3,24,1500,2400,360,83
2017,3,25,1900,3000,350,84
2017,3,26,,,,85
2017,3,27,1500,2800,360,86
2017,3,28,1500,2800,370,87
2017,3,29,1500,2800,380,88
2017,3,30,1900,3200,350,89
2017,3,31,1900,3200,360,90
2017,4,1,1900,3200,330,91
2017,4,2,,,,92
2017,4,3,1700,2400,300,93
2017,4,4,,,,94
2017,4,5,1300,2000,320,95
2017,4,6,1300,2000,340,96
2017,4,7,1500,2400,320,97
2017,4,8,1100,1600,340,98
2017,4,9,,,,99
2017,4,10,1100,1600,340,100
2017,4,11,1100,1600,350,101
2017,4,12,850,1600,310,102
2017,4,13,1100,1600,360,103
2017,4,14,,,,104
2017,4,15,950,1600,350,105
2017,4,16,,,,106
2017,4,17,750,1200,400,107
2017,4,18,750,1200,380,108
2017,4,19,,,,109
2017,4,20,550,1000,370,110
2017,4,21,550,1000,380,111
2017,4,22,550,1000,360,112
2017,4,23,,,,113
2017,4,24,650,1200,380,114
2017,4,25,,,,115
2017,4,26,650,1200,360,116
2017,4,27,550,1000,380,117
2017,4,28,550,1000,400,118
2017,4,29,650,1200,380,119
2017,4,30,,,,120
