Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,1,640,2000,370,1
2017,1,2,640,2000,434,2
2017,1,3,600,2000,533,3
2017,1,4,600,2000,529,4
2017,1,5,560,2000,704,5
2017,1,6,400,1800,670,6
2017,1,7,,,,7
2017,1,8,600,2000,386,8
2017,1,9,600,2000,386,9
2017,1,10,680,2000,393,10
2017,1,11,680,2000,521,11
2017,1,12,600,2000,674,12
2017,1,13,725,2000,754,13
2017,1,14,,,,14
2017,1,15,725,2000,509,15
2017,1,16,775,2000,501,16
2017,1,17,825,2200,498,17
2017,1,18,775,2000,533,18
2017,1,19,775,2000,634,19
2017,1,20,700,2000,696,20
2017,1,21,,,,21
2017,1,22,750,2000,558,22
2017,1,23,750,2000,533,23
2017,1,24,800,2000,665,24
2017,1,25,,,,25
2017,1,26,800,2000,77,26
2017,1,27,800,2000,686,27
2017,1,28,,,,28
2017,1,29,750,2000,531,29
2017,1,30,750,2000,785,30
2017,1,31,,,,31
2017,2,1,710,2000,875,32
2017,2,2,710,2000,706,33
2017,2,3,710,2000,720,34
2017,2,4,750,2000,595,35
2017,2,5,,,,36
2017,2,6,750,2000,620,37
2017,2,7,940,2000,522,38
2017,2,8,860,2000,379,39
2017,2,9,860,2000,522,40
2017,2,10,735,1800,639,41
2017,2,11,835,2000,890,42
2017,2,12,,,,43
2017,2,13,710,2000,463,44
2017,2,14,810,2000,633,45
2017,2,15,950,2200,681,46
2017,2,16,900,2200,571,47
2017,2,17,880,2200,513,48
2017,2,18,880,2200,672,49
2017,2,19,,,,50
2017,2,20,785,2000,476,51
2017,2,21,825,2000,644,52
2017,2,22,875,2000,587,53
2017,2,23,940,2000,710,54
2017,2,24,,,,55
2017,2,25,940,2200,576,56
2017,2,26,,,,57
2017,2,27,1060,2500,423,58
2017,2,28,940,2500,723,59
2017,3,1,940,2500,717,60
2017,3,2,940,2500,654,61
2017,3,3,950,2500,429,62
2017,3,4,950,2000,504,63
2017,3,5,,,,64
2017,3,6,910,2000,481,65
2017,3,7,910,2000,632,66
2017,3,8,910,2000,609,67
2017,3,9,910,2000,517,68
2017,3,10,1125,2200,475,69
2017,3,11,935,2000,514,70
2017,3,12,,,,71
2017,3,13,,,,72
2017,3,14,1045,2200,312,73
2017,3,15,990,2200,531,74
2017,3,16,990,2200,544,75
2017,3,17,990,2000,622,76
2017,3,18,1025,2200,950,77
2017,3,19,,,,78
2017,3,20,950,2200,719,79
2017,3,21,1200,2500,489,80
2017,3,22,1425,2600,437,81
2017,3,23,1300,2500,884,82
2017,3,24,1225,2500,623,83
2017,3,25,1225,2500,841,84
2017,3,26,,,,85
2017,3,27,1175,2500,616,86
2017,3,28,1175,2500,757,87
2017,3,29,1100,2500,755,88
2017,3,30,1175,2500,786,89
2017,3,31,1175,2500,710,90
2017,4,1,1175,2500,659,91
2017,4,2,,,,92
2017,4,3,1225,2500,503,93
2017,4,4,,,,94
2017,4,5,1300,2800,502,95
2017,4,6,1300,3000,474,96
2017,4,7,1125,2500,567,97
2017,4,8,1075,2500,656,98
2017,4,9,,,,99
2017,4,10,1050,2500,520,100
2017,4,11,1050,2500,509,101
2017,4,12,1175,3000,406,102
2017,4,13,1275,3000,363,103
2017,4,14,,,,104
2017,4,15,1275,3000,473,105
2017,4,16,,,,106
2017,4,17,1400,3200,350,107
2017,4,18,1200,3000,423,108
2017,4,19,1400,3000,485,109
2017,4,20,900,3000,703,110
2017,4,21,700,2500,561,111
2017,4,22,700,2500,581,112
2017,4,23,,,,113
2017,4,24,700,2500,546,114
2017,4,25,600,2000,701,115
2017,4,26,475,1600,539,116
2017,4,27,450,1500,596,117
2017,4,28,400,1400,529,118
2017,4,29,400,1300,494,119
2017,4,30,,,,120
2017,5,1,475,1500,332,121
2017,5,2,425,1400,425,122
2017,5,3,500,1400,407,123
2017,5,4,600,1400,329,124
2017,5,5,800,1500,378,125
2017,5,6,800,1500,367,126
2017,5,7,,,,127
2017,5,8,600,1500,364,128
2017,5,9,700,1500,365,129
2017,5,10,,,,130
2017,5,11,900,2000,373,131
2017,5,12,900,2000,418,132
2017,5,13,900,2500,375,133
2017,5,14,,,,134
2017,5,15,900,2500,288,135
2017,5,16,750,2000,398,136
2017,5,17,850,2000,378,137
2017,5,18,800,2000,471,138
2017,5,19,700,2200,595,139
2017,5,20,400,1600,464,140
2017,5,21,,,,141
2017,5,22,375,1500,275,142
2017,5,23,525,1800,375,143
2017,5,24,500,1800,411,144
2017,5,25,425,1800,439,145
2017,5,26,600,2000,433,146
2017,5,27,500,2000,304,147
2017,5,28,,,,148
2017,5,29,650,2000,343,149
2017,5,30,700,2500,354,150
2017,5,31,850,2500,404,151
2017,6,1,850,2500,435,152
2017,6,2,800,2500,455,153
2017,6,3,800,2500,298,154
2017,6,4,,,,155
2017,6,5,900,2500,360,156
2017,6,6,1200,3000,330,157
2017,6,7,1200,3000,399,158
2017,6,8,1200,3000,440,159
2017,6,9,1000,2500,353,160
2017,6,10,1000,2500,720,161
2017,6,11,,,,162
2017,6,12,800,2500,438,163
2017,6,13,900,2500,259,164
2017,6,14,700,2500,330,165
2017,6,15,900,2500,550,166
2017,6,16,700,2500,386,167
2017,6,17,1000,2500,396,168
2017,6,18,,,,169
2017,6,19,1700,3000,245,170
2017,6,20,1575,3000,432,171
2017,6,21,1600,3000,387,172
2017,6,22,1850,3200,347,173
2017,6,23,2250,3500,378,174
2017,6,24,2250,3500,338,175
2017,6,25,,,,176
2017,6,26,,,,177
2017,6,27,2700,4000,319,178
2017,6,28,3150,5500,401,179
2017,6,29,2875,5500,377,180
2017,6,30,3000,6000,341,181
2017,7,1,3425,6000,406,182
2017,7,2,,,,183
