Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,1,,,,1
2017,1,2,1400,2100,85,2
2017,1,3,1240,1800,105,3
2017,1,4,1290,2000,90,4
2017,1,5,1350,2100,80,5
2017,1,6,1350,2100,80,6
2017,1,7,1370,2200,75,7
2017,1,8,,,,8
2017,1,9,1250,2000,85,9
2017,1,10,1350,2100,78,10
2017,1,11,1350,2100,78,11
2017,1,12,1250,2000,80,12
2017,1,13,850,1300,120,13
2017,1,14,900,1400,100,14
2017,1,15,,,,15
2017,1,16,850,1300,115,16
2017,1,17,900,1400,100,17
2017,1,18,830,1200,120,18
2017,1,19,830,1200,120,19
2017,1,20,730,1100,135,20
2017,1,21,760,1200,125,21
2017,1,22,,,,22
2017,1,23,725,1100,135,23
2017,1,24,760,1200,125,24
2017,1,25,800,1300,105,25
2017,1,26,,,,26
2017,1,27,850,1400,90,27
2017,1,28,880,1500,80,28
2017,1,29,,,,29
2017,1,30,950,1600,75,30
2017,1,31,950,1600,75,31
2017,2,1,900,1400,90,32
2017,2,2,950,1600,75,33
2017,2,3,980,1700,70,34
2017,2,4,960,1600,75,35
2017,2,5,,,,36
2017,2,6,900,1500,85,37
2017,2,7,980,1600,75,38
2017,2,8,1010,1700,70,39
2017,2,9,730,1200,85,40
2017,2,10,680,1000,90,41
2017,2,11,650,900,100,42
2017,2,12,,,,43
2017,2,13,680,1000,90,44
2017,2,14,550,800,120,45
2017,2,15,600,900,110,46
2017,2,16,650,1000,90,47
2017,2,17,660,1100,85,48
2017,2,18,680,1200,80,49
2017,2,19,,,,50
2017,2,20,640,1000,90,51
2017,2,21,670,1200,85,52
2017,2,22,630,1000,95,53
2017,2,23,680,1200,90,54
2017,2,24,,,,55
2017,2,25,700,1300,85,56
2017,2,26,,,,57
2017,2,27,770,1400,80,58
2017,2,28,900,1600,70,59
2017,3,1,935,1700,60,60
2017,3,2,1000,1800,55,61
2017,3,3,900,1600,60,62
2017,3,4,950,1700,48,63
2017,3,5,,,,64
2017,3,6,850,1600,54,65
2017,3,7,850,1600,54,66
2017,3,8,750,1300,65,67
2017,3,9,760,1350,60,68
2017,3,10,700,1200,70,69
2017,3,11,550,1000,100,70
2017,3,12,,,,71
2017,3,13,,,,72
2017,3,14,600,1100,90,73
2017,3,15,550,900,105,74
2017,3,16,580,1000,90,75
2017,3,17,650,1100,75,76
2017,3,18,680,1200,63,77
2017,3,19,,,,78
2017,3,20,700,1250,60,79
2017,3,21,650,1200,70,80
2017,3,22,650,1000,80,81
2017,3,23,630,800,90,82
2017,3,24,700,1100,80,83
2017,3,25,660,1000,100,84
2017,3,26,,,,85
2017,3,27,640,900,110,86
2017,3,28,680,1000,90,87
2017,3,29,850,1300,70,88
2017,3,30,850,1300,70,89
2017,3,31,800,1200,75,90
2017,4,1,750,1200,80,91
2017,4,2,,,,92
2017,4,3,780,1300,70,93
2017,4,4,,,,94
2017,4,5,750,1200,80,95
2017,4,6,780,1300,70,96
2017,4,7,850,1500,65,97
2017,4,8,850,1500,65,98
2017,4,9,,,,99
2017,4,10,860,1600,60,100
2017,4,11,750,1400,70,101
2017,4,12,780,1500,65,102
2017,4,13,950,1600,55,103
2017,4,14,,,,104
2017,4,15,850,1500,60,105
2017,4,16,,,,106
2017,4,17,950,1600,55,107
2017,4,18,860,1500,60,108
2017,4,19,900,1600,50,109
2017,4,20,750,1300,60,110
2017,4,21,900,1500,50,111
2017,4,22,750,1200,65,112
2017,4,23,,,,113
2017,4,24,650,1000,80,114
2017,4,25,600,900,100,115
2017,4,26,550,850,110,116
2017,4,27,650,1000,90,117
2017,4,28,680,1200,80,118
2017,4,29,650,1000,90,119
2017,4,30,,,,120
2017,5,1,,,,121
2017,5,2,680,1100,80,122
2017,5,3,730,1300,70,123
2017,5,4,1100,1600,50,124
2017,5,5,1070,1500,40,125
2017,5,6,1300,1800,35,126
2017,5,7,,,,127
2017,5,8,1500,2000,27,128
2017,5,9,1550,2000,25,129
2017,5,10,,,,130
2017,5,11,1700,2500,20,131
2017,5,12,1900,2600,16,132
2017,5,13,1700,2500,25,133
2017,5,14,,,,134
2017,5,15,1750,2500,30,135
2017,5,16,1900,2700,20,136
2017,5,17,1700,2600,25,137
2017,5,18,2100,3500,18,138
2017,5,19,1900,3300,24,139
2017,5,20,1900,3300,24,140
2017,5,21,,,,141
2017,5,22,1850,3300,48,142
2017,5,23,1950,3500,36,143
2017,5,24,1700,3000,90,144
2017,5,25,1700,3000,90,145
2017,5,26,1550,2800,75,146
2017,5,27,1550,2800,75,147
2017,5,28,,,,148
2017,5,29,1750,3000,90,149
2017,5,30,2350,4000,60,150
2017,5,31,2450,4000,40,151
2017,6,1,2250,3700,90,152
2017,6,2,2100,3500,105,153
2017,6,3,1850,3000,150,154
2017,6,4,,,,155
2017,6,5,1950,3200,120,156
2017,6,6,1960,3200,115,157
2017,6,7,1960,3200,118,158
2017,6,8,2350,4000,75,159
2017,6,9,2250,3800,105,160
2017,6,10,2150,3600,120,161
2017,6,11,,,,162
2017,6,12,1900,3000,150,163
2017,6,13,1950,3200,120,164
2017,6,14,1850,3000,135,165
2017,6,15,2000,3500,105,166
2017,6,16,1950,3400,150,167
2017,6,17,2100,3600,120,168
2017,6,18,,,,169
2017,6,19,3100,5000,60,170
2017,6,20,3350,5300,45,171
2017,6,21,2950,5000,135,172
2017,6,22,2850,4800,150,173
2017,6,23,3050,5000,120,174
2017,6,24,3350,5500,90,175
2017,6,25,,,,176
2017,6,26,,,,177
2017,6,27,4150,6000,60,178
2017,6,28,4450,6500,45,179
2017,6,29,4600,6700,30,180
2017,6,30,4450,6500,90,181
2017,7,1,4550,7000,75,182
2017,7,2,,,,183
2017,7,3,5100,8000,45,184
2017,7,4,5050,8000,75,185
2017,7,5,4900,7500,105,186
2017,7,6,4900,7500,105,187
2017,7,7,5450,8000,60,188
2017,7,8,5900,8500,45,189
2017,7,9,,,,190
2017,7,10,5750,8000,75,191
2017,7,11,6250,8500,60,192
2017,7,12,6900,9000,45,193
2017,7,13,6925,9000,40,194
2017,7,14,6750,8500,90,195
2017,7,15,6850,8300,75,196
2017,7,16,,,,197
2017,7,17,7350,9000,30,198
2017,7,18,7400,9000,25,199
2017,7,19,7100,9000,50,200
2017,7,20,7350,9000,28,201
2017,7,21,7250,9000,35,202
2017,7,22,7100,8800,45,203
2017,7,23,,,,204
2017,7,24,6850,8700,75,205
2017,7,25,6950,9000,45,206
2017,7,26,6750,8800,60,207
2017,7,27,6650,8500,75,208
2017,7,28,6450,8300,90,209
2017,7,29,5900,8000,120,210
2017,7,30,,,,211
2017,7,31,5250,7500,135,212
2017,8,1,5250,7500,135,213
2017,8,2,5100,7300,150,214
2017,8,3,4550,7000,120,215
2017,8,4,4450,6800,135,216
2017,8,5,4650,7000,90,217
2017,8,6,,,,218
2017,8,7,5300,8000,75,219
2017,8,8,5450,8500,60,220
2017,8,9,5300,8000,90,221
2017,8,10,4900,8000,100,222
2017,8,11,4750,7500,75,223
2017,8,12,4450,7000,90,224
2017,8,13,,,,225
2017,8,14,4550,7500,60,226
2017,8,15,,,,227
2017,8,16,5350,8000,45,228
2017,8,17,5150,7800,75,229
2017,8,18,5100,7600,90,230
2017,8,19,5150,7800,75,231
2017,8,20,,,,232
2017,8,21,5650,8000,60,233
2017,8,22,5450,7800,75,234
