Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days,
2017,1,1,,,,1,
2017,1,2,300,1500,108,2,
2017,1,3,300,1200,137,3,
2017,1,4,350,1500,108,4,
2017,1,5,300,1200,109,5,
2017,1,6,250,1200,97,6,
2017,1,7,,,,7,
2017,1,8,,,,8,
2017,1,9,250,1200,113,9,
2017,1,10,230,1000,169,10,
2017,1,11,300,1200,97,11,
2017,1,12,250,1000,98,12,
2017,1,13,250,1000,93,13,
2017,1,14,,,,14,
2017,1,15,,,,15,
2017,1,16,350,1200,109,16,
2017,1,17,400,1000,117,17,
2017,1,18,500,1200,0,18,
2017,1,19,300,1200,1210,19,
2017,1,20,200,1200,137,20,
2017,1,21,300,1200,92,21,
2017,1,22,,,,22,
2017,1,23,350,1200,79,23,
2017,1,24,300,1000,79,24,
2017,1,25,300,1000,82,25,
2017,1,26,,,,26,
2017,1,27,250,1000,103,27,
2017,1,28,300,1000,191,28,
2017,1,29,,,,29,
2017,1,30,350,1200,91,30,
2017,1,31,300,1200,179,31,
2017,2,1,250,1200,98,32,
2017,2,2,275,1000,85,33,
2017,2,3,275,1200,74,34,
2017,2,4,325,1200,102,35,
2017,2,5,,,,36,
2017,2,6,300,1000,106,37,
2017,2,7,300,1000,113,38,
2017,2,8,400,1200,98,39,
2017,2,9,300,1200,122,40,
2017,2,10,325,1000,109,41,
2017,2,11,,,,42,
2017,2,12,,,,43,
2017,2,13,350,1200,99,44,
2017,2,14,350,1200,82,45,
2017,2,15,350,1200,74,46,
2017,2,16,300,1200,91,47,
2017,2,17,350,1200,96,48,
2017,2,18,400,1200,80,49,
2017,2,19,,,,50,
2017,2,20,450,1200,80,51,
2017,2,21,500,1500,137,52,
2017,2,22,450,1200,72,53,
2017,2,23,400,1200,51,54,
2017,2,24,425,1500,54,55,
2017,2,25,,,,56,
2017,2,26,,,,57,
2017,2,27,800,1800,56,58,
2017,2,28,800,1800,115,59,
2017,3,1,750,1500,58,60,
2017,3,2,750,1500,82,61,
2017,3,3,700,1800,56,62,
2017,3,4,600,1800,78,63,
2017,3,5,,,,64,
2017,3,6,1100,2000,10,65,
2017,3,7,900,1800,114,66,
2017,3,8,900,1800,36,67,
2017,3,9,900,1800,59,68,
2017,3,10,800,2000,42,69,
2017,3,11,,,,70,
2017,3,12,,,,71,
2017,3,13,,,,72,
2017,3,14,800,2000,57,73,
2017,3,15,900,2000,184,74,
2017,3,16,900,2000,48,75,
2017,3,17,900,2000,94,76,
2017,3,18,800,1800,78,77,
2017,3,19,,,,78,
2017,3,20,800,2000,66,79,
2017,3,21,,,,80,
2017,3,22,1250,2000,93,81,
2017,3,23,1200,2000,65,82,
2017,3,24,1250,2000,63,83,
2017,3,25,,,,84,
2017,3,26,,,,85,
2017,3,27,800,2000,83,86,
2017,3,28,900,2000,129,87,
2017,3,29,750,2000,118,88,
2017,3,30,900,2000,160,89,
2017,3,31,900,2000,174,90,
2017,4,1,,,,91,
2017,4,2,,,,92,
2017,4,3,,,,93,
2017,4,4,,,,94,
2017,4,5,900,2000,124,95,
2017,4,6,800,1800,69,96,
2017,4,7,900,2000,153,97,
2017,4,8,800,2000,75,98,
2017,4,9,,,,99,
2017,4,10,1000,2000,102,100,
2017,4,11,800,2000,173,101,
2017,4,12,700,2000,114,102,
2017,4,13,,,,103,
2017,4,14,,,,104,
2017,4,15,1125,2000,98,105,
2017,4,16,,,,106,
2017,4,17,1100,2000,149,107,
2017,4,18,,,,108,
2017,4,19,1700,2500,80,109,
2017,4,20,1250,2000,159,110,
2017,4,21,1400,2000,163,111,
2017,4,22,1450,2000,152,112,
2017,4,23,,,,113,
2017,4,24,1200,2000,146,114,
2017,4,25,,,,115,
2017,4,26,1300,2000,241,116,
2017,4,27,1000,2000,230,117,
2017,4,28,1250,2000,364,118,
2017,4,29,,,,119,
2017,4,30,,,,120,
2017,5,1,850,2000,440,121,
2017,5,2,1050,2000,409,122,
2017,5,3,1200,2500,371,123,
2017,5,4,1100,2000,273,124,
2017,5,5,1050,2000,415,125,
2017,5,6,1050,2000,302,126,
2017,5,7,,,,127,
2017,5,8,950,2000,312,128,
2017,5,9,1200,2000,236,129,
2017,5,10,,,,130,
2017,5,11,1100,2000,401,131,
2017,5,12,1100,2000,253,132,
2017,5,13,,,,133,
2017,5,14,,,,134,
2017,5,15,1000,2000,513,135,
2017,5,16,1100,2000,801,136,
2017,5,17,1100,2000,266,137,
2017,5,18,1100,1800,502,138,
2017,5,19,900,2000,442,139,
2017,5,20,850,1800,356,140,
2017,5,21,,,,141,
2017,5,22,750,1800,369,142,
2017,5,23,1050,1800,615,143,
2017,5,24,950,1800,332,144,
2017,5,25,900,1800,356,145,
2017,5,26,800,2000,531,146,
2017,5,27,,,,147,
2017,5,28,,,,148,
2017,5,29,600,1500,249,149,
2017,5,30,1350,2500,417,150,
2017,5,31,1400,2500,267,151,
2017,6,1,1100,2500,331,152,
2017,6,2,800,2000,370,153,
2017,6,3,,,,154,
2017,6,4,,,,155,
2017,6,5,1700,2500,145,156,
2017,6,6,1400,2500,355,157,
2017,6,7,1500,2500,680,158,
2017,6,8,1500,2500,380,159,
2017,6,9,1250,2000,341,160,
2017,6,10,900,2000,75,161,
2017,6,11,,,,162,
2017,6,12,,,,163,
2017,6,13,1250,2000,357,164,
2017,6,14,1050,2000,366,165,
2017,6,15,1100,2000,393,166,
2017,6,16,1500,2500,188,167,
2017,6,17,,,,168,
2017,6,18,,,,169,
2017,6,19,1750,2500,312,170,
2017,6,20,2000,3000,54,171,
2017,6,21,,,,172,
2017,6,22,2300,3500,315,173,
2017,6,23,2250,3000,311,174,
2017,6,24,2000,3000,292,175,
2017,6,25,,,,176,
2017,6,26,,,,177,
2017,6,27,2600,4000,209,178,
2017,6,28,3400,4500,745,179,
2017,6,29,3000,4500,277,180,
2017,6,30,3500,4500,291,181,
2017,7,1,,,,182,
2017,7,2,,,,183,
2017,7,3,3500,4500,265,184,
2017,7,4,3700,5000,410,185,
2017,7,5,4500,6000,198,186,
2017,7,6,4500,7000,279,187,
2017,7,7,4000,8000,157,188,
2017,7,8,4200,7500,217,189,
2017,7,9,,,,190,
2017,7,10,5000,7500,333,191,
2017,7,11,5000,7000,213,192,
2017,7,12,5000,8000,155,193,
2017,7,13,5500,8500,163,194,
