Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,1,,,,1
2017,1,2,350,700,44,2
2017,1,3,350,700,49,3
2017,1,4,400,800,42,4
2017,1,5,450,800,46,5
2017,1,6,400,1000,51,6
2017,1,7,400,800,52,7
2017,1,8,,,,8
2017,1,9,400,800,51,9
2017,1,10,400,800,49,10
2017,1,11,500,1000,50,11
2017,1,12,600,1200,49,12
2017,1,13,700,1200,48,13
2017,1,14,,,,14
2017,1,15,,,,15
2017,1,16,600,1200,44,16
2017,1,17,700,1500,53,17
2017,1,18,700,1300,40,18
2017,1,19,700,1300,46,19
2017,1,20,700,1300,47,20
2017,1,21,800,1400,48,21
2017,1,22,,,,22
2017,1,23,800,1500,41,23
2017,1,24,900,1800,45,24
2017,1,25,900,1800,39,25
2017,1,26,,,,26
2017,1,27,1100,1800,47,27
2017,1,28,1100,1800,40,28
2017,1,29,,,,29
2017,1,30,1200,2000,35,30
2017,1,31,1200,2000,42,31
2017,2,1,1200,2000,47,32
2017,2,2,1200,1800,41,33
2017,2,3,1300,2000,43,34
2017,2,4,1600,2500,37,35
2017,2,5,,,,36
2017,2,6,1800,2500,46,37
2017,2,7,1800,2500,43,38
2017,2,8,1600,2400,39,39
2017,2,9,1800,2500,41,40
2017,2,10,1500,2200,36,41
2017,2,11,1500,2000,39,42
2017,2,12,,,,43
2017,2,13,1700,2300,43,44
2017,2,14,1700,2300,35,45
2017,2,15,1800,2500,36,46
2017,2,16,1800,2600,43,47
2017,2,17,1800,2500,41,48
2017,2,18,1800,2500,41,49
2017,2,19,,,,50
2017,2,20,1800,2600,38,51
2017,2,21,,,,52
2017,2,22,,,,53
2017,2,23,,,,54
2017,2,24,,,,55
2017,2,25,,,,56
2017,2,26,,,,57
2017,2,27,,,,58
2017,2,28,2000,2800,34,59
2017,3,1,2000,2800,29,60
2017,3,2,1800,2800,30,61
2017,3,3,1800,2600,38,62
2017,3,4,1800,2600,32,63
2017,3,5,,,,64
2017,3,6,2000,2700,36,65
2017,3,7,2200,3000,39,66
2017,3,8,2200,3000,34,67
2017,3,9,2000,2700,36,68
2017,3,10,1900,2600,36,69
2017,3,11,1900,2600,32,70
2017,3,12,,,,71
2017,3,13,,,,72
2017,3,14,,,,73
2017,3,15,1800,2500,42,74
2017,3,16,1800,2500,49,75
2017,3,17,1700,2600,39,76
2017,3,18,1700,2400,38,77
2017,3,19,,,,78
2017,3,20,1800,2500,45,79
2017,3,21,1800,2500,39,80
2017,3,22,1800,2500,41,81
2017,3,23,1800,2500,37,82
2017,3,24,1800,2500,34,83
2017,3,25,1800,2600,37,84
2017,3,26,,,,85
2017,3,27,1800,2600,37,86
2017,3,28,1800,2500,34,87
2017,3,29,,,,88
2017,3,30,1800,2600,32,89
2017,3,31,1800,2600,28,90
2017,4,1,1800,2600,37,91
2017,4,2,,,,92
2017,4,3,1800,2600,33,93
2017,4,4,,,,94
2017,4,5,1800,2700,38,95
2017,4,6,1800,2600,33,96
2017,4,7,1300,2000,34,97
2017,4,8,1200,2000,32,98
2017,4,9,,,,99
2017,4,10,1300,2000,46,100
2017,4,11,1600,2300,39,101
2017,4,12,1500,2200,37,102
2017,4,13,1100,1800,41,103
2017,4,14,,,,104
2017,4,15,1000,1800,36,105
2017,4,16,,,,106
2017,4,17,800,1600,39,107
2017,4,18,700,1600,40,108
2017,4,19,600,1200,34,109
2017,4,20,600,1200,32,110
2017,4,21,600,1200,45,111
2017,4,22,600,1200,32,112
2017,4,23,,,,113
2017,4,24,500,1200,39,114
2017,4,25,500,1100,40,115
2017,4,26,500,1000,39,116
2017,4,27,500,1200,39,117
2017,4,28,500,1200,47,118
2017,4,29,500,1200,40,119
2017,4,30,,,,120
2017,5,1,,,,121
2017,5,2,500,1200,41,122
2017,5,3,450,1000,41,123
2017,5,4,400,1000,42,124
2017,5,5,400,1000,39,125
2017,5,6,400,900,41,126
2017,5,7,,,,127
2017,5,8,400,900,30,128
2017,5,9,600,1200,34,129
2017,5,10,,,,130
2017,5,11,600,1200,34,131
2017,5,12,,,,132
2017,5,13,,,,133
2017,5,14,,,,134
2017,5,15,700,1400,36,135
2017,5,16,700,1400,46,136
2017,5,17,700,1500,45,137
2017,5,18,700,1500,42,138
2017,5,19,800,1500,46,139
2017,5,20,800,1500,40,140
2017,5,21,,,,141
2017,5,22,750,1500,37,142
2017,5,23,700,1300,41,143
2017,5,24,500,1000,41,144
2017,5,25,600,1200,43,145
2017,5,26,600,1200,41,146
2017,5,27,,,,147
2017,5,28,,,,148
2017,5,29,500,1200,34,149
2017,5,30,1000,1800,41,150
2017,5,31,1000,1700,39,151
2017,6,1,1100,1800,39,152
2017,6,2,,,,153
2017,6,3,1000,1800,39,154
2017,6,4,,,,155
2017,6,5,900,1800,36,156
2017,6,6,1000,1800,19,157
2017,6,7,1000,1800,35,158
2017,6,8,1000,2000,47,159
2017,6,9,1300,2200,43,160
2017,6,10,1200,2000,39,161
2017,6,11,,,,162
2017,6,12,1400,2300,39,163
2017,6,13,1300,2200,39,164
2017,6,14,1300,2200,38,165
2017,6,15,1300,2200,33,166
2017,6,16,1300,2200,40,167
2017,6,17,1500,2400,37,168
2017,6,18,,,,169
2017,6,19,2000,3200,36,170
