Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,1,,,,1
2017,1,2,700,2000,166,2
2017,1,3,700,2000,165,3
2017,1,4,500,2000,218,4
2017,1,5,400,2000,211,5
2017,1,6,400,1600,228,6
2017,1,7,600,1600,164,7
2017,1,8,,,,8
2017,1,9,600,1600,173,9
2017,1,10,500,1600,197,10
2017,1,11,500,1500,185,11
2017,1,12,600,1500,170,12
2017,1,13,700,1500,199,13
2017,1,14,700,1400,49,14
2017,1,15,,,,15
2017,1,16,900,1500,99,16
2017,1,17,800,1500,98,17
2017,1,18,800,1500,159,18
2017,1,19,700,1500,143,19
2017,1,20,700,1500,193,20
2017,1,21,700,1500,171,21
2017,1,22,,,,22
2017,1,23,600,1500,130,23
2017,1,24,1000,1500,122,24
2017,1,25,700,1500,189,25
2017,1,26,,,,26
2017,1,27,800,2000,208,27
2017,1,28,900,2000,213,28
2017,1,29,,,,29
2017,1,30,,,,30
2017,1,31,1000,2000,226,31
2017,2,1,1100,2000,199,32
2017,2,2,1000,2000,172,33
2017,2,3,1100,2000,165,34
2017,2,4,1400,2200,256,35
2017,2,5,,,,36
2017,2,6,800,2200,246,37
2017,2,7,1400,3000,193,38
2017,2,8,1200,3000,204,39
2017,2,9,1300,3000,196,40
2017,2,10,1200,3000,177,41
2017,2,11,1100,2600,197,42
2017,2,12,,,,43
2017,2,13,800,2500,204,44
2017,2,14,700,2500,166,45
2017,2,15,800,2500,178,46
2017,2,16,700,2000,163,47
2017,2,17,,,,48
2017,2,18,1200,2500,198,49
2017,2,19,,,,50
2017,2,20,800,2000,223,51
2017,2,21,1000,2000,191,52
2017,2,22,1300,2000,178,53
2017,2,23,1100,2500,155,54
2017,2,24,,,,55
2017,2,25,1400,3000,222,56
2017,2,26,,,,57
2017,2,27,1400,3000,219,58
2017,2,28,1600,3000,259,59
2017,3,1,1100,2000,266,60
2017,3,2,1000,2000,269,61
2017,3,3,1000,2500,156,62
2017,3,4,1000,2500,138,63
2017,3,5,,,,64
2017,3,6,1000,2500,216,65
2017,3,7,1200,2500,170,66
2017,3,8,1400,2500,207,67
2017,3,9,1400,2500,194,68
2017,3,10,1200,2500,241,69
2017,3,11,1300,2400,255,70
2017,3,12,,,,71
2017,3,13,,,,72
2017,3,14,1400,2500,88,73
2017,3,15,1200,2500,177,74
2017,3,16,1200,3000,137,75
2017,3,17,1200,3000,248,76
2017,3,18,1200,3000,250,77
2017,3,19,,,,78
2017,3,20,1100,2400,184,79
2017,3,21,1150,2500,144,80
2017,3,22,1400,2500,161,81
2017,3,23,1200,3000,295,82
2017,3,24,1200,3000,205,83
2017,3,25,1400,3000,254,84
2017,3,26,,,,85
2017,3,27,1400,3000,218,86
2017,3,28,1600,3000,209,87
2017,3,29,1600,3000,298,88
2017,3,30,1500,3000,261,89
2017,3,31,1400,3000,359,90
2017,4,1,1400,4000,276,91
2017,4,2,,,,92
2017,4,3,1000,3000,231,93
2017,4,4,,,,94
2017,4,5,1450,2800,203,95
2017,4,6,1000,2800,189,96
2017,4,7,1200,3000,300,97
2017,4,8,1500,3000,225,98
2017,4,9,,,,99
2017,4,10,,,,100
2017,4,11,1000,3000,192,101
2017,4,12,1000,3000,209,102
2017,4,13,1000,3000,202,103
2017,4,14,,,,104
2017,4,15,900,3000,355,105
2017,4,16,,,,106
2017,4,17,800,3000,196,107
2017,4,18,900,3000,199,108
2017,4,19,900,3000,235,109
2017,4,20,1200,3000,318,110
2017,4,21,900,3000,252,111
2017,4,22,900,3000,220,112
2017,4,23,,,,113
2017,4,24,900,3000,181,114
2017,4,25,2200,4000,332,115
2017,4,26,2200,4000,235,116
2017,4,27,2300,4000,332,117
2017,4,28,700,4000,284,118
2017,4,29,700,4000,280,119
2017,4,30,,,,120
2017,5,1,700,2000,343,121
2017,5,2,700,2000,234,122
2017,5,3,700,2000,310,123
2017,5,4,600,2000,227,124
2017,5,5,500,2000,166,125
2017,5,6,500,2000,160,126
2017,5,7,,,,127
2017,5,8,500,2000,165,128
2017,5,9,700,2000,156,129
2017,5,10,,,,130
2017,5,11,700,2000,169,131
2017,5,12,700,2000,183,132
2017,5,13,900,2000,172,133
2017,5,14,,,,134
2017,5,15,700,2000,225,135
2017,5,16,750,2000,229,136
2017,5,17,850,2000,194,137
2017,5,18,900,2000,220,138
2017,5,19,900,2000,226,139
2017,5,20,1400,2000,218,140
2017,5,21,,,,141
2017,5,22,,,,142
2017,5,23,900,2000,199,143
2017,5,24,700,2000,168,144
2017,5,25,,,,145
2017,5,26,900,2000,194,146
2017,5,27,,,,147
2017,5,28,,,,148
2017,5,29,1700,2000,136,149
2017,5,30,1800,2000,139,150
2017,5,31,1800,3500,243,151
2017,6,1,1700,3000,240,152
2017,6,2,1800,4000,195,153
2017,6,3,1800,3600,171,154
2017,6,4,,,,155
2017,6,5,1600,3500,214,156
2017,6,6,1600,3500,210,157
2017,6,7,1800,3500,273,158
2017,6,8,1900,3500,259,159
2017,6,9,1800,3500,169,160
2017,6,10,1800,3600,292,161
2017,6,11,,,,162
2017,6,12,1800,3500,338,163
2017,6,13,1800,3500,157,164
2017,6,14,1800,3500,212,165
2017,6,15,2200,3500,227,166
2017,6,16,2100,3600,226,167
2017,6,17,2000,3600,205,168
2017,6,18,,,,169
2017,6,19,,,,170
2017,6,20,3500,6000,199,171
2017,6,21,3200,6000,255,172
2017,6,22,2500,6000,192,173
2017,6,23,2500,6000,253,174
2017,6,24,3300,6000,275,175
2017,6,25,,,,176
2017,6,26,,,,177
2017,6,27,3000,6000,314,178
2017,6,28,3000,6000,116,179
2017,6,29,3500,6000,211,180
2017,6,30,4000,8000,215,181
2017,7,1,4200,8000,202,182
2017,7,2,,,,183
2017,7,3,4500,8000,200,184
2017,7,4,5000,8000,151,185
2017,7,5,5200,8000,146,186
2017,7,6,5000,8000,150,187
2017,7,7,5000,8000,156,188
2017,7,8,5000,8000,143,189
2017,7,9,,,,190
2017,7,10,5200,9000,137,191
2017,7,11,5500,9000,128,192
2017,7,12,7000,10000,143,193
2017,7,13,8000,12000,122,194
2017,7,14,6800,10000,153,195
2017,7,15,7500,12000,84,196
2017,7,16,,,,197
2017,7,17,7500,12000,161,198
2017,7,18,7000,12000,172,199
2017,7,19,6500,12000,128,200
2017,7,20,6500,12000,102,201
2017,7,21,7000,12000,160,202
2017,7,22,7000,12000,133,203
2017,7,23,,,,204
2017,7,24,7000,11000,285,205
2017,7,25,5000,11000,265,206
2017,7,26,5500,11000,143,207
2017,7,27,6200,11000,144,208
2017,7,28,4500,10000,222,209
2017,7,29,5000,10000,143,210
2017,7,30,,,,211
2017,7,31,3500,8000,175,212
2017,8,1,3500,6000,185,213
2017,8,2,3500,6000,191,214
2017,8,3,4000,6000,156,215
2017,8,4,4000,6000,127,216
2017,8,5,3600,6000,126,217
2017,8,6,,,,218
2017,8,7,4000,6000,145,219
2017,8,8,3000,6000,155,220
2017,8,9,3000,6000,150,221
2017,8,10,3500,6000,168,222
2017,8,11,3300,6000,113,223
2017,8,12,4000,7000,116,224
2017,8,13,,,,225
